file,conversation,sample_id,rq,group,item,metric,watermark,no_watermark,signed_metadata_only,random_replace
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.5,tamper_detection_rate,0.5006915629322268,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.1,bit_recovery_post,0.975609756097561,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.1,leaves_affected,72,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.1,name,manual_edits,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.1,tamper_detection_rate,0.0995850622406639,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.3,bit_recovery_post,0.6341463414634146,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.3,leaves_affected,217,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.3,name,manual_edits,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.3,tamper_detection_rate,0.30013831258644535,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.5,bit_recovery_post,0.43902439024390244,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.5,leaves_affected,362,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.5,name,manual_edits,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.5,strength,0.5,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=manual_edits;strength=0.5,tamper_detection_rate,0.5006915629322268,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.1,bit_recovery_post,0.8536585365853658,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.1,leaves_affected,72,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.1,name,paraphrase_rewrite,,,
